Suggested Bundle Title,FullPrice,DiscountRate,FinalPrice,BundleType,OfferLabel
"2x Faber-Castell στυλό K-One 0,7 mm Μαύρο – Offer Pack",0.8,0.05,0.76,Volume,-5%
"2x Faber-Castell στυλό K-One 0,5 mm Μπλε – Offer Pack",0.8375,0.05,0.8,Volume,-5%
"2x Faber-Castell μολύβι ""Natural 1117 B"" – Offer Pack",0.9272727272727272,0.05,0.88,Volume,-5%
"2x Faber-Castell στυλό K-One 0,7 mm Μπλε – Offer Pack",0.9428571428571428,0.05,0.9,Volume,-5%
2x Faber-Castell Γόμα Mini Dust Free Λευκή – Offer Pack,0.99,0.05,0.94,Volume,-5%
4x Faber-Castell Στυλό Trilux Μπλε – Offer Pack,1.1199999999999999,0.15000000000000002,0.95,Volume,-15%
"3x Faber-Castell στυλό K-One 0,5 mm Μαύρο – Offer Pack",1.2,0.1,1.08,Volume,-10%
2x Faber-Castell μολύβι Grip 2001 B λιλά – Offer Pack,1.3,0.05,1.23,Volume,-5%
2x Faber-Castell Μαρκαδόρος υπογράμμισης 1546 Kίτρινος – Offer Pack,1.4233333333333331,0.05,1.35,Volume,-5%
4x Faber-Castell γόμα κόκκινο/μπλε Rubber 7070-4 – Offer Pack,1.7733333333333334,0.15000000000000002,1.51,Volume,-15%
3x Faber-Castell Υπογραμμιστής Fluo 1546 Πορτοκαλί – Offer Pack,1.77,0.1,1.59,Volume,-10%
3x Faber-Castell μολύβι με γόμα Grip 2001 Ροζέ – Offer Pack,1.8599999999999999,0.1,1.67,Volume,-10%
2x Faber-Castell Μύτες μηχανικών μολυβιών Super Polymer 0.7 mm Β – Offer Pack,1.96,0.05,1.86,Volume,-5%
3x Faber-Castell Μολύβι Grip 2B 2001 Κόκκινο – Offer Pack,2.09,0.1,1.88,Volume,-10%
4x Faber-Castell μολύβι Grip ΗΒ Μαύρο – Offer Pack,2.28,0.15000000000000002,1.94,Volume,-15%
3x Faber-Castell Μολύβι Sparkle ΙΙ Λιλά – Offer Pack,2.4899999999999998,0.1,2.24,Volume,-10%
