Bundle Title,SKU A,SKU B,FinalPrice (€),Duration (days),Expected Sales,Forecasted Revenue (€)
Narciso Rodriguez For Her Pure Musc Eau de Parfum 100ml + Narciso Rodriguez Narciso Eau de Parfum Poudrée 90ml,1052194,1047084,169.81,5,5,849.04
Narciso Rodriguez For Her Pure Musc Eau de Parfum 100ml + Narciso Rodriguez For Her Eau de Parfum Spray 50ml,1052194,1031454,169.07,5,5,845.35
Narciso Rodriguez For Her Pure Musc Eau de Parfum 100ml + Narciso Rodriguez For Her Musc Noir Rose Eau de Parfum Vapo 50ml,1052194,1059829,159.01,4,4,636.03
Estée Lauder Advanced Night Repair Synchronized Multi-Recovery Complex 50ml + Estée Lauder Mini Revitalizing Supreme+ Youth Power Crème 15 ml,9-2077003687,9-2077003898,100.05,4,4,400.2
Clarins Double Serum Eye 20 ml + Clarins Nutri-Lumiere Day Cream Emulsion 50 ml,1058844,1055965,126.55,3,3,379.64
Clarins Double Serum Eye 20 ml + Clarins Super Restorative Abdomen & Waist Balm 200 ml,1058844,1080926,97.79,3,3,293.38
Estée Lauder Revitalizing Supreme+ Night Power Bounce Crème 50 ml + Estée Lauder Mini Revitalizing Supreme+ Youth Power Crème 15 ml,9-2077004263,9-2077003898,97.54,2,2,195.08
Chiara Ferragni Lip Kit - Kiss Essential Nude Beige Nude Beige + Chiara Ferragni Eyeshadow Palette Platinum Edition,9-5289000011,9-5289000035,52.04,3,3,156.13
Chiara Ferragni Lip Kit - Kiss Essential Nude Beige Nude Beige + Chiara Ferragni Balm - Kiss Me Softly 3 gr 02 Invisible,9-5289000011,9-5289000039,41.68,3,3,125.03
Chiara Ferragni Lip Kit - Kiss Essential Nude Beige Nude Beige + Chiara Ferragni Gloss - Glossy Temptation 8 ml 04 Nude Beige,9-5289000011,9-5289000007,38.23,3,3,114.68
Clarins Gentle Care Roll-On Deodorant 50 ml + Clarins Nutri-Lumiere Day Cream Emulsion 50 ml,1084042,1055965,102.89,3,1,102.89
Clarins Gentle Care Roll-On Deodorant 50 ml + Clarins Super Restorative Abdomen & Waist Balm 200 ml,1084042,1080926,74.14,3,1,74.14
Clarins Body-Smoothing Moisture Milk 400 ml + Clarins Body Fit Active 200ml,1081043,1083978,57.23,30,1,57.23
Kiko Milano Ultra Tech + Volume And Curl Mascara 12 ml + Kiko Milano High Pigment Eyeshadow 40 Metallic Ballerina Rose,9-4896000585,9-4896004057,9.34,0,0,0.0
Kiko Milano Ultra Tech + Volume And Curl Mascara 12 ml + Kiko Milano Pure Clean Toner 200 ml,9-4896000585,9-4896003805,7.83,0,0,0.0
Kiko Milano Ultra Tech + Volume And Curl Mascara 12 ml + Kiko Milano Full Coverage Blurring Powder Foundation Kiko Milano Full Coverage Blurring Powder Foundation 20 Ivory,9-4896000585,9-4896003454,15.72,0,0,0.0
Kiko Milano Lip Volume Tutu Rose + Kiko Milano Pure Clean Toner 200 ml,9-4896001659,9-4896003805,10.06,0,0,0.0
Kiko Milano Lip Volume Tutu Rose + Kiko Milano Full Coverage Blurring Powder Foundation Kiko Milano Full Coverage Blurring Powder Foundation 20 Ivory,9-4896001659,9-4896003454,17.95,0,0,0.0
Kiko Milano Lip Volume Tutu Rose + Kiko Milano High Pigment Eyeshadow 40 Metallic Ballerina Rose,9-4896001659,9-4896004057,11.57,0,0,0.0
Kiko Milano Unforgettable Volume & Curl Mascara 11 ml + Kiko Milano Pure Clean Toner 200 ml,9-4896001185,9-4896003805,7.93,0,0,0.0
Kiko Milano Unforgettable Volume & Curl Mascara 11 ml + Kiko Milano Full Coverage Blurring Powder Foundation Kiko Milano Full Coverage Blurring Powder Foundation 20 Ivory,9-4896001185,9-4896003454,15.83,0,0,0.0
Kiko Milano Unforgettable Volume & Curl Mascara 11 ml + Kiko Milano High Pigment Eyeshadow 40 Metallic Ballerina Rose,9-4896001185,9-4896004057,9.44,0,0,0.0
Lancôme Hypnôse Drama - Extreme Volume Mascara 8 ml Excessive Black + Lancôme Rénergie H.C.F. Triple Serum Eye 20 ml,900278504279,900278504194,68.98,0,0,0.0
