Bundle Title,SKU,FinalPrice (€),Duration (days),Expected Sales,Forecasted Revenue (€)
4x Kiko Milano Lip Volume Kiko Milano Lip Volume Tutu Rose – Offer Pack,9-4896001659,23.13,80,80,1850.34
2x Sensai Cellular Performance Lift Remodelling Cream 40 ml – Offer Pack,1043159,347.75,5,5,1738.73
2x Kiko Milano 3D Hydra Lipgloss 01 Clear – Offer Pack,9-4896001464,21.8,59,59,1286.3
2x Kiko Milano Lip Volume Transparent – Offer Pack,9-4896001660,16.1,2250,75,1207.13
2x Kiko Milano Lip Volume Tutu Rose – Offer Pack,9-4896001659,12.93,80,80,1034.01
3x Moschino Toy 2 Pearl Eau de Parfum 50ml – Offer Pack,1083382,152.9,6,6,917.41
"3x Lacoste γυναικεία τσάντα ώμου ""Concept Zip Tote"" Μαύρο ONE SIZE – Offer Pack",3NF1888PO|LG000|T00,170.1,5,5,850.5
3x Dolce & Gabbana The One for Men Eau de Toilette 100ml – Offer Pack,1083312,220.94,3,3,662.82
2x Shiseido Benefiance Wrinkle Smoothing Day Emulsion 75 ml – Offer Pack,1054628,163.4,4,4,653.58
3x Dolce & Gabbana Pour Homme Eau de Toilette 75ml – Offer Pack,1082586,185.03,3,3,555.08
3x Yves Rocher 48h Non-Stop Moisturizing Gel Cream 50 ml – Offer Pack,1082493,46.0,11,11,505.99
3x Sensai Silky Purifying Double Cleansing Set – Offer Pack,1085265,100.93,75,5,504.63
"4x Kiko Milano Intense Colour Long Lasting Eyeliner 1,2 gr 13 Pearly Violet – Offer Pack",9-4896005263,30.57,240,16,489.06
4x L'Occitane Citrus Verbena Roll On Deodorant 50 ml – Offer Pack,9-4866000014,56.93,24,8,455.42
3x Estée Lauder Beautiful Eau de Parfum Spray Estée Lauder Beautiful Eau de Parfum Spray 30 ml – Offer Pack,980207700313,226.99,2,2,453.98
3x Davidoff Cool Water Woman Eau de Toilette Davidoff Cool Water Woman Eau de Toilette 100 ml – Offer Pack,9-4624000020,149.69,3,3,449.06
3x Moschino Funny EdT 100ml – Offer Pack,1033073,148.88,3,3,446.63
2x Clarins Very High Protection Youth Sun Care Cream Spf 50+ 50 ml – Offer Pack,1083900,44.61,100,10,446.06
2x Yves Rocher Monoi De Tahiti Eau De Toilette 100 ml – Offer Pack,1057230,55.73,33,8,445.83
3x Ralph Lauren Polo Blue Parfum Ralph Lauren Polo Blue Parfum 125 ml  – Offer Pack,1081720,218.11,2,2,436.21
4x L'Occitane Cocoon of Serenity Relaxing Pillow Mist 100 ml – Offer Pack,9-4862000275,99.73,15,4,398.93
"3x Kiko Milano Gossamer Emotion Creamy Lipstick 3,5 gr 103 Powder Pink – Offer Pack",9-4896005373,32.37,180,12,388.48
4x L'Occitane Eau De Cedrat Shower Gel 250 ml – Offer Pack,9-4862000304,53.55,7,7,374.85
3x Sensai Highlighting Concealer HC00 Luminous Ivory – Offer Pack,1050905,92.96,4,4,371.83
3x Guerlain Parure Gold Skin Control High Perfection Matte Compact Foundation Guerlain Parure Gold Skin Control High Perfection Matte Compact Foundation 2N Neutral – Offer Pack,1082723,181.16,2,2,362.31
3x Ralph Lauren Polo Black Eau de Toilette Ralph Lauren Polo Black Eau de Toilette 125 ml – Offer Pack,1082434,180.31,2,2,360.61
3x Sensai Silky Purifying Step 1 Cleansing Milk 150 ml – Offer Pack,1044950,71.19,5,5,355.96
2x Kiko Milano New 30 Days Extension - Daily Treatment Mascara – Offer Pack,9-4896000314,21.69,16,16,346.99
3x Ralph Lauren Romance Eau de Parfum 100ml – Offer Pack,1082436,160.99,2,2,321.98
2x Kiko Milano New Glamour Multi Finish Eyeshadow Palette 05 Blue Variations – Offer Pack,9-4896003006,28.57,330,11,314.24
2x Kiko Milano New Luxurious Lashes Maxi Volume Brush Mascara 12 ml – Offer Pack,9-4896000893,20.81,150,15,312.2
4x Sensai Silky Purifying Step 1 Make-up Remover for Eye & Lip 100 ml – Offer Pack,1044952,75.35,4,4,301.41
2x Kiko Milano Coloured Lip Balm 08 Almond – Offer Pack,9-4896003023,14.19,21,21,298.06
3x Dsquared2 Wood Eau de Toilette Natural Spray 30ml – Offer Pack,1059057,98.09,3,3,294.27
2x Moschino Toy 2 Pearl Eau de Parfum 30ml – Offer Pack,1083381,72.83,120,4,291.31
2x Κiko Milano Dreamphoria Tint Me Softly Lip Mousse 3 ml 02 Rosy Bloom – Offer Pack,9-4896005343,32.28,270,9,290.53
4x Timberland ανδρικό T-shirt με V λαιμόκομψη ''Dunstan River'' Λευκό L – Offer Pack,9-3308011911|EE0018|L,71.4,4,4,285.6
2x Estée Lauder Bronze Goddess Eau Fraiche 100ml – Offer Pack,9-2077003535,141.6,60,2,283.21
4x Guerlain Contour G Lip Pencil 03 Le Brun Tonka – Offer Pack,1084336,93.57,3,3,280.7
2x Κiko Milano New Bright Lift Night – Offer Pack,9-4896002497,34.81,33,8,278.48
4x L'Occitane Artichoke Body Scrub 200 ml – Offer Pack,9-4862000871,137.7,2,2,275.4
3x Κiko Milano Dreamphoria Tint Me Softly Lip Mousse 3 ml 04 Magical Mauve – Offer Pack,9-4896005345,45.87,6,6,275.24
3x Versace Dreamer EdT 50ml – Offer Pack,1034820,135.89,2,2,271.78
