SKU,Item title,Order Count,Avg Quantity,Max Quantity,Suggested Bundle Title
1011876,Issey Miyake L'Eau d'Issey Pour Homme Deodorant Spray 150 ml,7,1.5714285714285714,5.0,2x Issey Miyake L'Eau d'Issey Pour Homme Deodorant Spray 150 ml – Offer Pack
1033073,Moschino Funny EdT 100ml,1,2.0,2.0,3x Moschino Funny EdT 100ml – Offer Pack
1034820,Versace Dreamer EdT 50ml,1,2.0,2.0,3x Versace Dreamer EdT 50ml – Offer Pack
1037476,Hermès Voyage d'Hermès Αποσμητικό Σε Σπρέι 150 ml,15,1.4666666666666666,4.0,2x Hermès Voyage d'Hermès Αποσμητικό Σε Σπρέι 150 ml – Offer Pack
1038780,Hermès Voyage d'Hermès Αποσμητικό Στικ Χωρίς Οινόπνευμα 75 ml,6,1.3333333333333333,3.0,2x Hermès Voyage d'Hermès Αποσμητικό Στικ Χωρίς Οινόπνευμα 75 ml – Offer Pack
1043159,Sensai Cellular Performance Lift Remodelling Cream 40 ml,14,1.1428571428571428,3.0,2x Sensai Cellular Performance Lift Remodelling Cream 40 ml – Offer Pack
1044947,Sensai Silky Purifying Step 1 Remove & Reveal Cleansing Oil 150 ml,17,1.2352941176470589,4.0,2x Sensai Silky Purifying Step 1 Remove & Reveal Cleansing Oil 150 ml – Offer Pack
1044950,Sensai Silky Purifying Step 1 Cleansing Milk 150 ml,7,2.142857142857143,3.0,3x Sensai Silky Purifying Step 1 Cleansing Milk 150 ml – Offer Pack
1044952,Sensai Silky Purifying Step 1 Make-up Remover for Eye & Lip 100 ml,11,2.8181818181818183,10.0,4x Sensai Silky Purifying Step 1 Make-up Remover for Eye & Lip 100 ml – Offer Pack
1044954,Sensai Silky Purifying Step 2 Creamy Soap 125 ml,20,1.25,3.0,2x Sensai Silky Purifying Step 2 Creamy Soap 125 ml – Offer Pack
1044955,Sensai Silky Purifying Step 2 Milky Soap 125 ml,21,1.2857142857142858,4.0,2x Sensai Silky Purifying Step 2 Milky Soap 125 ml – Offer Pack
1045012,BLV pour Homme Eau De Toilette Bvlgari BLV pour Homme Eau De Toilette 100 ml,18,1.2222222222222223,3.0,2x BLV pour Homme Eau De Toilette Bvlgari BLV pour Homme Eau De Toilette 100 ml – Offer Pack
1045147,Bvlgari Man in Black Eau de Parfum Bvlgari Man in Black Eau de Parfum 100 ml,13,1.1538461538461537,3.0,2x Bvlgari Man in Black Eau de Parfum Bvlgari Man in Black Eau de Parfum 100 ml – Offer Pack
1046404,Yves Rocher Comme Une Evidence Perfumed Body Lotion 200 ml ,7,1.7142857142857142,4.0,2x Yves Rocher Comme Une Evidence Perfumed Body Lotion 200 ml  – Offer Pack
1047559,Yves Rocher Relaxing Bath and Shower Gel Almond Orange Blossom 200 ml,10,1.3,4.0,2x Yves Rocher Relaxing Bath and Shower Gel Almond Orange Blossom 200 ml – Offer Pack
1047618,Yves Rocher Relaxing Soap Lavandin Blackberry 80 gr,2,2.5,4.0,4x Yves Rocher Relaxing Soap Lavandin Blackberry 80 gr – Offer Pack
1048047,Zadig & Voltaire This is Him! Shower Gel 200 ml,1,2.0,2.0,3x Zadig & Voltaire This is Him! Shower Gel 200 ml – Offer Pack
1048776,Yves Rocher Relaxing Bath and Shower Gel Lotus Flower Sage 400 ml,8,1.625,5.0,2x Yves Rocher Relaxing Bath and Shower Gel Lotus Flower Sage 400 ml – Offer Pack
1049599,Bvlgari Splendida Jasmin Noir EdP Bvlgari Splendida Jasmin Noir EdP 50 ml,3,1.6666666666666667,3.0,2x Bvlgari Splendida Jasmin Noir EdP Bvlgari Splendida Jasmin Noir EdP 50 ml – Offer Pack
1050330,Yves Rocher Relaxing Hand Cream Olive Petitgrain 30 ml,6,1.3333333333333333,3.0,2x Yves Rocher Relaxing Hand Cream Olive Petitgrain 30 ml – Offer Pack
1050905,Sensai Highlighting Concealer HC00 Luminous Ivory,2,2.0,3.0,3x Sensai Highlighting Concealer HC00 Luminous Ivory – Offer Pack
1050907,Sensai Highlighting Concealer HC02 Luminous Sand,1,2.0,2.0,3x Sensai Highlighting Concealer HC02 Luminous Sand – Offer Pack
1051687,Sensai Silky Purifying Sponge Chief,23,1.2608695652173914,4.0,2x Sensai Silky Purifying Sponge Chief – Offer Pack
1051954,Yves Rocher Relaxing Liquid Hand Soap Olive Petitgrain 190 ml,2,2.5,4.0,4x Yves Rocher Relaxing Liquid Hand Soap Olive Petitgrain 190 ml – Offer Pack
1052038,Sensai Blooming Blush 03 Blooming Coral,1,2.0,2.0,3x Sensai Blooming Blush 03 Blooming Coral – Offer Pack
1052180,Yves Rocher Liquid Hand Soap Lavandin Blackberry - Υγρό Σαπούνι Χεριών 190 ml,1,2.0,2.0,3x Yves Rocher Liquid Hand Soap Lavandin Blackberry - Υγρό Σαπούνι Χεριών 190 ml – Offer Pack
1052277,Versace Eros Flame Perfumed Deodorant Stick 75 ml,2,2.5,4.0,4x Versace Eros Flame Perfumed Deodorant Stick 75 ml – Offer Pack
1052499,Yves Rocher Relaxing Perfumed Mist Olive Petitgrain for Hair & Body 100 ml,2,2.5,4.0,4x Yves Rocher Relaxing Perfumed Mist Olive Petitgrain for Hair & Body 100 ml – Offer Pack
1052503,Yves Rocher Anti-Tiredness Foot Soothing Iced Gel 75 ml ,10,2.6,4.0,4x Yves Rocher Anti-Tiredness Foot Soothing Iced Gel 75 ml  – Offer Pack
1052505,Yves Rocher Relaxing Perfumed Mist Almond Orange Blossom for Hair & Body 100 ml,10,1.3,3.0,2x Yves Rocher Relaxing Perfumed Mist Almond Orange Blossom for Hair & Body 100 ml – Offer Pack
1052949,Yves Rocher Regenerating Day/Night Cream - Κρέμα Ημέρας/Νύχτας Pure Calendula 50 ml,21,1.4285714285714286,4.0,2x Yves Rocher Regenerating Day/Night Cream - Κρέμα Ημέρας/Νύχτας Pure Calendula 50 ml – Offer Pack
1053335,Hermès Terre d'Hermès Eau Intense Vétiver Eau de Parfum 200ml,1,2.0,2.0,3x Hermès Terre d'Hermès Eau Intense Vétiver Eau de Parfum 200ml – Offer Pack
1053506,Yves Rocher Clarifying Lotion 150 ml,1,2.0,2.0,3x Yves Rocher Clarifying Lotion 150 ml – Offer Pack
1053518,Yves Rocher Arnica Nourishing Hand Cream - Κρέμα Χεριών Με Άρνικα 75 ml,1,2.0,2.0,3x Yves Rocher Arnica Nourishing Hand Cream - Κρέμα Χεριών Με Άρνικα 75 ml – Offer Pack
